                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5151,                 4.6021,                 3.3146,                0.31743,                 0.0233,                0.01009,                0.00322,                 3.3718,                 4.5645,                 1.9339,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.8871,                 2.6289,                 1.6721,                 0.1764,                 0.0781,                 0.0523,                0.02168,                 2.4958,                 2.2058,                 1.3898,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4217,                 2.2269,                 1.3903,                0.20221,                0.10622,                0.06988,                0.03255,                 2.2082,                 1.9213,                 1.2713,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.1981,                  2.003,                 1.2813,                0.22243,                0.13335,                0.09222,                0.04295,                 2.0494,                 1.7755,                 1.1909,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.062,                 1.8506,                 1.2208,                 0.1645,                0.14076,                0.10881,                0.05494,                 1.9037,                  1.638,                 1.1355,               0.009802,               0.009802,               0.009802
                      6,                 1.9766,                 1.7423,                 1.1817,                0.16801,                0.16253,                 0.1166,                0.06108,                 1.8615,                 1.6355,                 1.1201,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9063,                  1.663,                  1.164,                0.20069,                0.17492,                0.14025,                0.07188,                 1.7699,                 1.4955,                 1.0999,               0.009703,               0.009703,               0.009703
                      8,                 1.8622,                 1.6027,                 1.1378,                0.21196,                0.17935,                0.14395,                0.07365,                 1.7786,                 1.4621,                  1.089,              0.0096535,              0.0096535,              0.0096535
                      9,                   1.83,                 1.5623,                 1.1307,                0.22879,                0.18985,                0.15039,                0.08008,                 1.7279,                 1.4317,                 1.0752,               0.009604,               0.009604,               0.009604
                     10,                 1.7951,                  1.517,                 1.1211,                0.23281,                0.20498,                0.17071,                0.09069,                 1.6554,                   1.36,                 1.0629,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7591,                 1.4821,                 1.1092,                0.26208,                0.20613,                 0.1704,                0.09177,                 1.6439,                 1.3473,                 1.0573,               0.009505,               0.009505,               0.009505
                     12,                 1.7408,                 1.4495,                 1.1022,                0.25526,                0.21234,                0.18179,                0.09826,                 1.6281,                 1.3082,                 1.0513,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7239,                 1.4281,                 1.0947,                0.27064,                0.22156,                0.18555,                0.09953,                 1.6444,                 1.3133,                 1.0542,               0.009406,               0.009406,               0.009406
                     14,                 1.6904,                 1.3914,                 1.0824,                0.30163,                0.22404,                0.19869,                0.10811,                 1.5831,                  1.262,                 1.0357,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6903,                 1.3799,                 1.0821,                0.30744,                0.22804,                0.19968,                 0.1093,                 1.5939,                 1.2579,                 1.0354,               0.009307,               0.009307,               0.009307
                     16,                 1.6709,                 1.3682,                  1.076,                0.30185,                0.23055,                0.20612,                0.11153,                 1.5861,                 1.2437,                 1.0323,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6529,                 1.3417,                 1.0747,                0.30268,                0.23207,                0.21034,                0.11407,                 1.5644,                 1.2319,                 1.0297,               0.009208,               0.009208,               0.009208
                     18,                 1.6558,                 1.3339,                 1.0689,                0.30151,                 0.2328,                0.21335,                 0.1175,                  1.535,                  1.208,                 1.0215,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6384,                 1.3168,                 1.0665,                0.29807,                0.23569,                0.21067,                0.11386,                 1.5506,                 1.2041,                 1.0237,               0.009109,               0.009109,               0.009109
                     20,                 1.6242,                 1.3019,                 1.0642,                 0.3258,                0.23795,                0.21854,                0.12059,                 1.5217,                 1.1898,                 1.0161,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6138,                 1.2948,                 1.0592,                 0.3087,                0.24695,                0.22411,                 0.1241,                 1.5221,                 1.1895,                 1.0162,                0.00901,                0.00901,                0.00901
                     22,                 1.6035,                 1.2795,                 1.0534,                0.33303,                0.24565,                0.22909,                0.12688,                 1.5057,                 1.1698,                 1.0107,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5964,                 1.2692,                 1.0517,                0.31773,                0.25858,                0.23256,                 0.1285,                 1.4938,                 1.1605,                 1.0058,               0.008911,               0.008911,               0.008911
                     24,                 1.5901,                 1.2605,                 1.0483,                0.32396,                0.25499,                0.23376,                0.12995,                 1.5056,                 1.1597,                  1.011,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5723,                 1.2501,                 1.0482,                0.33111,                 0.2554,                0.23709,                0.13182,                 1.4943,                 1.1628,                 1.0047,               0.008812,               0.008812,               0.008812
                     26,                 1.5797,                 1.2475,                 1.0488,                  0.349,                0.25594,                0.23589,                0.13119,                 1.4839,                 1.1428,                 1.0045,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5633,                 1.2365,                 1.0429,                0.33132,                0.26128,                0.24365,                0.13541,                 1.4714,                 1.1321,                0.99917,               0.008713,               0.008713,               0.008713
                     28,                 1.5635,                 1.2312,                 1.0424,                0.36106,                 0.2554,                0.24375,                0.13605,                 1.4702,                 1.1206,                 1.0003,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.559,                   1.22,                 1.0404,                0.35571,                0.25814,                0.24489,                0.13602,                 1.4632,                 1.1171,                0.99651,               0.008614,               0.008614,               0.008614
                     30,                 1.5535,                 1.2076,                 1.0369,                0.34547,                0.26414,                0.24923,                0.13881,                 1.4611,                 1.1189,                0.99856,              0.0085645,              0.0085645,              0.0085645
