                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.546,                 4.6836,                 3.3716,                0.01957,                0.02265,                0.01011,                0.00323,                 3.3449,                 3.4347,                 1.9992,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9308,                 2.6814,                 1.7078,                0.17155,                0.06508,                0.04871,                0.01979,                 2.5563,                 2.2618,                 1.4508,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4889,                 2.2931,                 1.4221,                0.08288,                0.09748,                0.06378,                 0.0284,                 2.3105,                 1.9938,                 1.3221,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2425,                  2.036,                 1.2997,                0.23268,                0.13336,                 0.0906,                0.04306,                 2.0511,                 1.7514,                  1.195,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0865,                  1.858,                 1.2288,                0.25166,                0.14421,                0.10667,                0.05348,                 1.9256,                 1.6415,                 1.1429,               0.009802,               0.009802,               0.009802
                      6,                 1.9956,                 1.7357,                 1.1863,                0.17134,                0.16542,                0.12147,                0.06307,                 1.8479,                 1.5889,                 1.1114,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9113,                 1.6507,                 1.1636,                0.20286,                0.17386,                0.13568,                 0.0701,                 1.7812,                 1.4888,                 1.1003,               0.009703,               0.009703,               0.009703
                      8,                 1.8594,                 1.5869,                 1.1356,                0.29678,                0.19047,                0.13969,                0.07167,                 1.7717,                 1.4657,                 1.0865,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8251,                 1.5434,                 1.1286,                0.22405,                0.19602,                0.15051,                0.08215,                 1.7105,                 1.4204,                 1.0719,               0.009604,               0.009604,               0.009604
                     10,                 1.7918,                 1.4969,                 1.1184,                0.24648,                0.20676,                0.16998,                0.09158,                  1.675,                 1.3494,                 1.0687,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7572,                 1.4618,                 1.1078,                0.25816,                0.20741,                0.17356,                 0.0945,                 1.6402,                   1.32,                 1.0564,               0.009505,               0.009505,               0.009505
                     12,                 1.7343,                 1.4275,                 1.0991,                0.25246,                 0.2142,                0.17883,                0.09672,                 1.6447,                 1.2993,                 1.0569,              0.0094555,              0.0094555,              0.0094555
                     13,                   1.72,                 1.4068,                 1.0919,                0.26245,                0.21899,                0.18025,                0.09909,                 1.6316,                 1.3044,                 1.0468,               0.009406,               0.009406,               0.009406
                     14,                 1.6857,                 1.3721,                 1.0796,                0.29472,                0.22066,                0.18898,                 0.1032,                 1.6099,                 1.2643,                 1.0433,              0.0093565,              0.0093565,              0.0093565
                     15,                  1.681,                 1.3577,                  1.078,                 0.2936,                0.22905,                0.19876,                 0.1095,                 1.5834,                 1.2388,                 1.0343,               0.009307,               0.009307,               0.009307
                     16,                 1.6691,                 1.3487,                 1.0738,                0.29995,                0.23266,                0.20712,                0.11374,                 1.5768,                 1.2334,                 1.0296,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6447,                 1.3194,                 1.0707,                0.29729,                0.22993,                0.20459,                0.11221,                 1.5781,                 1.2484,                 1.0315,               0.009208,               0.009208,               0.009208
                     18,                 1.6471,                  1.309,                 1.0645,                0.30734,                0.23737,                0.21394,                0.11793,                 1.5415,                 1.1962,                 1.0219,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6269,                 1.2959,                 1.0611,                 0.3284,                0.23912,                 0.2177,                0.12041,                 1.5222,                 1.1894,                 1.0173,               0.009109,               0.009109,               0.009109
                     20,                 1.6142,                 1.2801,                 1.0596,                0.31901,                0.24461,                0.21285,                 0.1194,                 1.5296,                 1.2023,                 1.0148,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6023,                  1.271,                 1.0538,                0.32465,                0.24536,                0.22298,                0.12305,                  1.515,                 1.1863,                 1.0143,                0.00901,                0.00901,                0.00901
                     22,                 1.5938,                  1.255,                 1.0489,                0.33235,                0.24993,                0.23167,                0.12765,                 1.5053,                 1.1548,                 1.0086,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.5849,                  1.245,                 1.0457,                0.33252,                0.25428,                0.23132,                0.12933,                 1.5017,                 1.1571,                  1.007,               0.008911,               0.008911,               0.008911
                     24,                  1.578,                 1.2358,                 1.0423,                0.32624,                 0.2561,                0.23528,                0.13117,                 1.4915,                  1.153,                 1.0067,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.5587,                 1.2238,                 1.0419,                0.33392,                0.25863,                0.23697,                0.13274,                 1.4888,                 1.1585,                 1.0019,               0.008812,               0.008812,               0.008812
                     26,                 1.5625,                 1.2248,                 1.0415,                0.34561,                0.25713,                0.23739,                0.13262,                 1.4766,                 1.1333,                 1.0012,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5498,                 1.2124,                 1.0369,                0.34747,                0.26178,                 0.2456,                0.13659,                 1.4838,                 1.1311,                 1.0033,               0.008713,               0.008713,               0.008713
                     28,                  1.548,                 1.2046,                 1.0356,                0.41323,                0.25718,                0.24738,                0.13705,                 1.4732,                 1.1135,                0.99868,              0.0086635,              0.0086635,              0.0086635
                     29,                  1.544,                 1.1925,                 1.0336,                0.34405,                 0.2533,                0.24491,                0.13648,                 1.4641,                 1.1201,                0.99542,               0.008614,               0.008614,               0.008614
                     30,                 1.5366,                 1.1806,                 1.0293,                0.36878,                 0.2671,                0.25186,                0.14152,                 1.4526,                 1.1075,                 0.9929,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.5366,                 1.1854,                 1.0316,                0.35525,                 0.2627,                0.25491,                0.14284,                 1.4488,                 1.1046,                0.99625,               0.008515,               0.008515,               0.008515
                     32,                 1.5181,                 1.1708,                 1.0234,                0.35567,                0.26639,                0.25148,                0.14136,                 1.4462,                 1.1034,                0.99175,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.5168,                 1.1657,                 1.0225,                0.36599,                0.26671,                0.25787,                0.14401,                 1.4424,                 1.0971,                0.98953,               0.008416,               0.008416,               0.008416
                     34,                  1.514,                 1.1624,                 1.0213,                0.36369,                0.27325,                0.25853,                  0.145,                  1.441,                 1.0891,                0.98831,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.5052,                 1.1488,                 1.0205,                0.35591,                0.26832,                0.26019,                0.14679,                 1.4315,                 1.0894,                 0.9872,               0.008317,               0.008317,               0.008317
                     36,                 1.5024,                  1.152,                  1.023,                0.36886,                0.27612,                0.26167,                0.14769,                 1.4258,                 1.0798,                0.98778,              0.0082675,              0.0082675,              0.0082675
