                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4986,                 4.6057,                   3.32,                0.31811,                0.02281,                  0.011,                0.00348,                 3.3661,                 3.3958,                  1.918,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9774,                 2.7099,                  1.702,                0.17133,                0.07203,                  0.049,                  0.021,                  2.574,                 2.2855,                  1.414,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4886,                 2.3036,                 1.4133,                0.18485,                0.10981,                0.07104,                0.03311,                 2.1984,                  1.954,                 1.2554,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2395,                 2.0592,                  1.295,                 0.2213,                0.13555,                 0.0883,                0.04129,                  2.067,                 1.8075,                 1.1933,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0968,                 1.8876,                 1.2322,                0.25551,                0.15266,                0.11048,                0.05478,                 1.9325,                 1.6606,                 1.1445,               0.009802,               0.009802,               0.009802
                      6,                 2.0154,                 1.7708,                 1.1932,                0.19785,                0.16568,                0.11975,                 0.0612,                 1.8539,                 1.6022,                 1.1267,              0.0097525,              0.0097525,              0.0097525
                      7,                   1.94,                 1.6911,                 1.1743,                0.18147,                0.17543,                   0.13,                0.06564,                  1.823,                 1.5356,                 1.1168,               0.009703,               0.009703,               0.009703
                      8,                 1.8946,                 1.6285,                 1.1473,                0.29665,                0.18427,                0.14128,                0.07056,                 1.7799,                 1.4725,                 1.0929,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8605,                  1.593,                 1.1412,                0.22546,                0.18647,                0.14429,                0.07635,                 1.7445,                  1.481,                 1.0838,               0.009604,               0.009604,               0.009604
                     10,                 1.8287,                 1.5494,                 1.1307,                0.21597,                0.19822,                0.15537,                0.07969,                 1.7145,                 1.3944,                 1.0739,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7948,                 1.5174,                 1.1209,                0.24999,                0.19938,                 0.1638,                0.08622,                 1.6858,                 1.3657,                 1.0716,               0.009505,               0.009505,               0.009505
                     12,                  1.775,                 1.4825,                 1.1122,                0.25721,                0.20659,                0.17248,                0.08954,                 1.6491,                 1.3458,                 1.0609,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7617,                 1.4602,                 1.1055,                0.24857,                0.21203,                0.17637,                0.09476,                 1.6568,                 1.3459,                 1.0564,               0.009406,               0.009406,               0.009406
                     14,                 1.7286,                 1.4278,                 1.0945,                0.27537,                0.20512,                0.17906,                0.09569,                 1.6339,                 1.3048,                  1.054,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7244,                 1.4142,                 1.0929,                0.27067,                0.22385,                0.18798,                0.10097,                 1.6051,                 1.2729,                 1.0421,               0.009307,               0.009307,               0.009307
                     16,                 1.7105,                 1.4035,                 1.0869,                0.27223,                0.22341,                0.19675,                0.10409,                 1.6023,                 1.2682,                 1.0402,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6883,                 1.3756,                 1.0854,                0.28126,                0.21951,                0.19432,                0.10421,                 1.6127,                 1.2749,                 1.0404,               0.009208,               0.009208,               0.009208
                     18,                 1.6904,                 1.3678,                 1.0787,                0.29214,                0.23401,                0.20295,                0.10962,                 1.5697,                 1.2332,                 1.0283,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6732,                 1.3558,                 1.0765,                0.29215,                0.23101,                0.20304,                0.10905,                 1.5644,                 1.2251,                 1.0307,               0.009109,               0.009109,               0.009109
                     20,                 1.6589,                 1.3389,                 1.0754,                0.31147,                0.22741,                  0.209,                0.11371,                 1.5532,                 1.2146,                 1.0242,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6486,                 1.3328,                 1.0693,                0.31088,                0.24258,                0.21238,                0.11524,                 1.5509,                 1.2244,                  1.025,                0.00901,                0.00901,                0.00901
                     22,                 1.6401,                 1.3161,                 1.0646,                0.30499,                0.23855,                0.21425,                0.11739,                 1.5462,                 1.2053,                 1.0234,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6323,                 1.3025,                 1.0623,                0.29532,                0.24659,                0.21578,                0.11816,                 1.5293,                 1.1972,                 1.0173,               0.008911,               0.008911,               0.008911
                     24,                 1.6263,                 1.2979,                 1.0588,                0.32145,                0.24421,                0.22203,                0.12144,                 1.5248,                  1.185,                 1.0156,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6068,                 1.2834,                 1.0589,                0.32053,                0.24396,                 0.2267,                0.12212,                 1.5143,                 1.1794,                 1.0121,               0.008812,               0.008812,               0.008812
                     26,                 1.6138,                 1.2833,                 1.0592,                0.31579,                0.24606,                0.22825,                 0.1256,                 1.5122,                 1.1753,                 1.0109,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.5986,                 1.2739,                 1.0534,                0.31884,                0.25671,                0.23027,                0.12752,                 1.5016,                 1.1758,                  1.011,               0.008713,               0.008713,               0.008713
                     28,                 1.5987,                 1.2667,                 1.0528,                0.36944,                0.24523,                0.22864,                0.12561,                 1.5077,                 1.1554,                 1.0116,              0.0086635,              0.0086635,              0.0086635
