                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4775,                 4.5646,                  3.276,                0.42008,                0.02285,                0.01152,                0.00355,                 3.3646,                 3.0848,                 1.9458,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9704,                 2.7063,                 1.6894,                0.17211,                0.06612,                0.04632,                0.01844,                 2.6162,                 2.2591,                 1.4562,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.5066,                 2.3051,                 1.4186,                 0.1751,                0.10155,                0.06285,                0.02801,                 2.3463,                 1.9884,                 1.3296,              0.0098929,              0.0098929,              0.0098929
                      4,                 2.2534,                 2.0583,                    1.3,                0.19757,                0.13056,                0.07839,                0.03459,                 2.1738,                 1.9779,                 1.2248,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1033,                 1.8905,                 1.2354,                0.14687,                0.14845,                0.10605,                0.05264,                 1.9319,                 1.6837,                 1.1481,               0.009802,               0.009802,               0.009802
                      6,                 2.0169,                 1.7777,                 1.1954,                0.17945,                0.15858,                0.11604,                0.06022,                 1.8809,                 1.6527,                 1.1338,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9421,                 1.7025,                 1.1762,                0.18618,                0.16672,                0.12809,                0.06507,                 1.8015,                 1.5217,                 1.1072,               0.009703,               0.009703,               0.009703
                      8,                 1.8956,                  1.636,                 1.1492,                0.30967,                0.18269,                0.14129,                0.07244,                 1.7691,                 1.4573,                 1.0975,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8617,                 1.6011,                 1.1416,                0.22053,                0.19185,                0.15387,                0.08137,                 1.7241,                 1.4359,                 1.0808,               0.009604,               0.009604,               0.009604
                     10,                 1.8283,                 1.5553,                 1.1319,                0.23624,                0.20478,                0.16377,                 0.0851,                 1.7033,                 1.3892,                 1.0756,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7933,                 1.5196,                 1.1214,                0.22759,                0.20002,                0.16371,                0.08654,                 1.6692,                 1.3712,                 1.0671,               0.009505,               0.009505,               0.009505
                     12,                 1.7715,                 1.4861,                 1.1132,                 0.2332,                0.20867,                 0.1757,                0.09279,                 1.6592,                 1.3392,                 1.0639,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7568,                 1.4662,                 1.1051,                0.25858,                 0.2086,                0.17846,                0.09738,                 1.6539,                 1.3415,                 1.0564,               0.009406,               0.009406,               0.009406
                     14,                 1.7242,                 1.4285,                 1.0934,                0.28132,                0.21787,                 0.1861,                0.10003,                 1.6367,                 1.2991,                 1.0532,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.7197,                 1.4165,                 1.0923,                0.27961,                0.22318,                0.19487,                0.10517,                 1.6114,                 1.2829,                 1.0452,               0.009307,               0.009307,               0.009307
                     16,                 1.7028,                 1.4046,                 1.0866,                0.27626,                0.22841,                0.19683,                 0.1062,                 1.6023,                 1.2823,                 1.0406,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6835,                 1.3787,                 1.0855,                0.28976,                0.22018,                0.19702,                0.10485,                  1.601,                 1.2642,                 1.0419,               0.009208,               0.009208,               0.009208
                     18,                 1.6867,                 1.3698,                 1.0782,                0.29197,                0.22703,                0.20089,                0.10779,                 1.5854,                 1.2434,                 1.0336,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.6693,                 1.3587,                 1.0767,                0.29098,                 0.2306,                0.20315,                 0.1091,                 1.5612,                 1.2304,                 1.0322,               0.009109,               0.009109,               0.009109
                     20,                 1.6545,                 1.3411,                 1.0743,                0.29675,                0.22631,                0.20406,                0.11211,                 1.5625,                  1.233,                 1.0246,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.6451,                 1.3298,                 1.0699,                0.30491,                0.24085,                0.21424,                0.11608,                 1.5499,                   1.22,                 1.0257,                0.00901,                0.00901,                0.00901
                     22,                 1.6351,                 1.3173,                 1.0644,                 0.3092,                0.23946,                 0.2201,                0.11967,                 1.5369,                 1.1999,                 1.0205,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.6269,                 1.3051,                 1.0617,                0.31186,                0.24361,                0.22175,                0.12068,                 1.5298,                 1.1969,                 1.0171,               0.008911,               0.008911,               0.008911
                     24,                 1.6218,                  1.299,                 1.0593,                 0.3176,                0.23528,                 0.2206,                0.12162,                 1.5324,                 1.1959,                 1.0203,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.6026,                 1.2855,                 1.0589,                0.30363,                 0.2499,                0.22239,                  0.121,                 1.5284,                 1.1943,                 1.0156,               0.008812,               0.008812,               0.008812
