                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6129,                 4.7706,                 3.4493,                0.01807,                0.02224,                0.00958,                0.00294,                 3.4786,                 3.6576,                 2.0315,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.9915,                 2.7193,                 1.7398,                0.17706,                0.06714,                0.04927,                0.02013,                  2.578,                 2.2408,                 1.4535,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.4988,                 2.2818,                 1.4216,                0.19905,                0.09546,                0.06947,                0.03114,                 2.2475,                 1.9202,                 1.2852,              0.0098929,              0.0098929,              0.0098929
                      4,                  2.241,                 2.0256,                 1.2969,                0.22371,                0.13582,                0.09307,                0.04361,                 2.0177,                 1.7388,                 1.1857,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0823,                 1.8549,                 1.2263,                0.14339,                0.14224,                0.10341,                0.05136,                 1.9264,                 1.6574,                 1.1376,               0.009802,               0.009802,               0.009802
                      6,                 1.9875,                 1.7307,                 1.1829,                 0.1862,                0.17284,                0.12177,                0.06358,                 1.8459,                 1.6237,                 1.1112,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.9069,                 1.6497,                 1.1614,                0.20789,                0.17241,                0.13696,                0.07059,                  1.799,                 1.5072,                  1.103,               0.009703,               0.009703,               0.009703
                      8,                 1.8579,                 1.5876,                 1.1348,                0.21415,                0.18731,                0.14505,                0.07414,                 1.7396,                 1.4529,                  1.079,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.8218,                 1.5455,                 1.1264,                0.24766,                0.19125,                0.15571,                0.08323,                 1.6951,                 1.4009,                 1.0744,               0.009604,               0.009604,               0.009604
                     10,                   1.79,                  1.502,                 1.1167,                0.24658,                0.20449,                0.17175,                0.09133,                 1.6715,                 1.3604,                 1.0644,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.7553,                 1.4661,                  1.106,                0.24366,                0.21052,                0.17469,                0.09348,                 1.6377,                 1.3323,                 1.0555,               0.009505,               0.009505,               0.009505
                     12,                 1.7333,                 1.4363,                 1.0984,                0.25293,                0.21388,                0.18556,                0.09931,                 1.6186,                 1.2875,                 1.0465,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.7161,                 1.4106,                 1.0904,                 0.2661,                0.21713,                0.18736,                0.10203,                  1.616,                 1.2961,                 1.0452,               0.009406,               0.009406,               0.009406
                     14,                 1.6797,                 1.3745,                  1.078,                0.29436,                0.23089,                 0.1962,                0.10713,                 1.5986,                 1.2672,                 1.0377,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6812,                 1.3618,                 1.0778,                 0.3066,                0.22454,                0.20043,                0.10907,                 1.5803,                 1.2463,                 1.0328,               0.009307,               0.009307,               0.009307
                     16,                 1.6651,                 1.3497,                 1.0725,                0.29277,                0.23353,                0.20867,                0.11489,                 1.5705,                 1.2413,                 1.0292,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.6421,                 1.3218,                 1.0706,                0.29303,                0.22501,                 0.2076,                 0.1136,                 1.5636,                 1.2296,                 1.0273,               0.009208,               0.009208,               0.009208
                     18,                 1.6438,                 1.3111,                 1.0636,                0.31231,                0.23912,                0.22063,                0.12108,                 1.5375,                 1.1987,                 1.0215,              0.0091585,              0.0091585,              0.0091585
