                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3482,                 4.0808,                 1.7755,                0.48858,                0.04464,                0.03697,                0.01679,                 2.3967,                   2.54,                  1.269,              0.0033251,              0.0033251,              0.0033251
                      2,                 2.2228,                  2.293,                 1.2204,                0.10273,                0.10514,                0.07451,                0.03709,                  1.998,                 1.9649,                 1.1442,              0.0066255,              0.0066255,              0.0066255
                      3,                 2.0682,                 2.0177,                 1.1423,                 0.2277,                0.13062,                0.09337,                0.04788,                 1.9314,                  1.791,                 1.1024,              0.0098929,              0.0098929,              0.0098929
                      4,                  1.961,                  1.837,                 1.0995,                0.16611,                0.16107,                0.12105,                0.06317,                  1.849,                 1.6749,                 1.0574,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8783,                 1.7121,                 1.0667,                0.18928,                0.16815,                0.12849,                0.06785,                 1.7953,                 1.6834,                 1.0434,               0.009802,               0.009802,               0.009802
                      6,                 1.8224,                 1.6171,                 1.0453,                0.21765,                0.19885,                0.15193,                0.08312,                 1.7354,                 1.5543,                 1.0193,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.7651,                 1.5547,                 1.0334,                0.21688,                0.19897,                 0.1548,                 0.0833,                 1.7196,                  1.467,                 1.0098,               0.009703,               0.009703,               0.009703
                      8,                 1.7359,                 1.5045,                 1.0198,                0.24902,                0.20504,                0.17228,                0.09356,                 1.6584,                 1.4337,                 1.0027,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.7122,                 1.4713,                 1.0145,                 0.2755,                0.21814,                0.18059,                0.09924,                 1.6639,                 1.3982,                0.99556,               0.009604,               0.009604,               0.009604
                     10,                 1.6906,                  1.428,                 1.0092,                0.27828,                 0.2294,                0.19475,                0.10809,                 1.5993,                 1.3581,                0.98407,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.6601,                 1.3967,                 1.0011,                0.26999,                0.23249,                0.19683,                0.10767,                 1.5845,                 1.3186,                0.98115,               0.009505,               0.009505,               0.009505
                     12,                 1.6492,                 1.3735,                0.99616,                0.27697,                0.22672,                0.20049,                 0.1116,                 1.6169,                 1.3131,                0.98228,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.6385,                 1.3511,                0.99125,                0.29581,                0.24193,                0.21013,                 0.1177,                 1.5723,                 1.2958,                0.97151,               0.009406,               0.009406,               0.009406
                     14,                 1.6096,                 1.3195,                0.98341,                0.31924,                0.24125,                0.22169,                0.12348,                 1.5643,                  1.271,                0.97204,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.6102,                 1.3115,                 0.9834,                0.32634,                0.24646,                0.22528,                0.12635,                 1.5477,                 1.2419,                0.96959,               0.009307,               0.009307,               0.009307
                     16,                 1.5989,                 1.2986,                 0.9791,                0.33445,                0.25029,                0.23116,                0.12819,                 1.5333,                  1.232,                0.96235,              0.0092575,              0.0092575,              0.0092575
                     17,                  1.577,                 1.2745,                0.97697,                0.32082,                0.24929,                0.23119,                0.12893,                  1.525,                 1.2291,                0.96198,               0.009208,               0.009208,               0.009208
                     18,                 1.5863,                 1.2716,                0.97438,                0.32653,                0.26113,                0.24005,                0.13429,                  1.507,                 1.2074,                0.95705,              0.0091585,              0.0091585,              0.0091585
